ETF,Variables,omega,alpha1,beta1,shape,AIC
CORN,Coef,0.01344276486281496,0.2982794982307657,0.4733847055458285,11.192090749187951,-0.180053416329871
,COEF_SE,0.0030903533670791996,0.04558358749280411,0.08239147349676615,2.2276728637741345,
SOYB,Coef,0.01420260441140789,0.4534553338748762,0.5034251461297347,4.5807664718816445,0.329649714292361
,COEF_SE,0.0026280355573993913,0.062024676207430504,0.050100865058423594,0.4259378677743829,
WEAT,Coef,0.00360814771748865,0.11900324938214633,0.863334750647455,8.67983986434303,0.91510777216807
,COEF_SE,0.0012799555784164312,0.026899183811920475,0.029433763480843853,1.471308529659631,
USO,Coef,0.012942000667614476,0.31321734226150183,0.6857826306609733,5.836868040599461,1.19847293305975
,COEF_SE,0.00723483799350801,0.09645893726441823,0.09620062613652462,0.8457679500405749,
UGA,Coef,0.0321072361479844,0.541601733919778,0.42685318763758,6.235084710841684,1.12313774515182
,COEF_SE,0.006004221824939079,0.0660354927503049,0.05445436787341392,0.7697358400687256,
