Value,CORN,SOYB,WEAT,USO,UGA
Min,11.67,13.34,4.86,7.96,8.9
Median,21.225,18.971400000000003,8.85,12.76,32.465
Mean,24.835782900834104,19.637072955390334,10.948266449814126,17.584160946027897,38.48790820203892
Max,52.6699,28.85,25.3536,39.36,65.709
STD DEV,10.284142193687828,3.4926781492751364,5.757516342291317,9.796100491811549,14.158165373412674
N,2158,2152,2152,1649,2158
Min,11.6991,13.3846,4.8773,7.68222,8.52143
Median,21.240035,18.979,8.842145,12.762106,32.505525
Mean,24.842630896987952,19.643845096747214,10.941580794934945,17.58742376531231,38.49119809082484
Max,52.67857,28.77032,25.28692,39.48115,65.47926
STD DEV,10.285405670295441,3.500613121637098,5.751781648518488,9.801180853960718,14.168543574221616
N,2158,2152,2152,1649,2158
